Keyword,Place,Start_date,End_date,Tweets_count
immigrant,,2022-05-16T00:00:00.000Z,2022-05-17T00:00:00.000Z,25043
immigrant,,2022-05-17T00:00:00.000Z,2022-05-18T00:00:00.000Z,24097
immigrant,,2022-05-18T00:00:00.000Z,2022-05-19T00:00:00.000Z,12741
immigrant,,2022-05-19T00:00:00.000Z,2022-05-20T00:00:00.000Z,11825
immigrant,,2022-05-20T00:00:00.000Z,2022-05-21T00:00:00.000Z,11766
immigrant,,2022-05-21T00:00:00.000Z,2022-05-22T00:00:00.000Z,7916
immigrant,,2022-05-22T00:00:00.000Z,2022-05-23T00:00:00.000Z,8603
immigrant,,2022-05-23T00:00:00.000Z,2022-05-24T00:00:00.000Z,8890
immigrant,,2022-05-24T00:00:00.000Z,2022-05-25T00:00:00.000Z,18217
immigrant,,2022-05-25T00:00:00.000Z,2022-05-26T00:00:00.000Z,17070
immigrant,,2022-05-26T00:00:00.000Z,2022-05-27T00:00:00.000Z,13615
immigrant,,2022-05-27T00:00:00.000Z,2022-05-28T00:00:00.000Z,8092
immigrant,,2022-05-28T00:00:00.000Z,2022-05-29T00:00:00.000Z,6756
immigrant,,2022-05-29T00:00:00.000Z,2022-05-30T00:00:00.000Z,5915
immigrant,,2022-05-30T00:00:00.000Z,2022-05-31T00:00:00.000Z,7676
immigrant,,2022-05-31T00:00:00.000Z,2022-06-01T00:00:00.000Z,6751
immigrant,,2022-06-01T00:00:00.000Z,2022-06-02T00:00:00.000Z,8930
immigrant,,2022-06-02T00:00:00.000Z,2022-06-03T00:00:00.000Z,11064
immigrant,,2022-06-03T00:00:00.000Z,2022-06-04T00:00:00.000Z,9658
immigrant,,2022-06-04T00:00:00.000Z,2022-06-05T00:00:00.000Z,7596
immigrant,,2022-06-05T00:00:00.000Z,2022-06-06T00:00:00.000Z,9157
immigrant,,2022-06-06T00:00:00.000Z,2022-06-07T00:00:00.000Z,7991
immigrant,,2022-06-07T00:00:00.000Z,2022-06-08T00:00:00.000Z,10145
immigrant,,2022-06-08T00:00:00.000Z,2022-06-09T00:00:00.000Z,10767
immigrant,,2022-06-09T00:00:00.000Z,2022-06-10T00:00:00.000Z,9355
immigrant,,2022-06-10T00:00:00.000Z,2022-06-11T00:00:00.000Z,9465
immigrant,,2022-06-11T00:00:00.000Z,2022-06-12T00:00:00.000Z,9078
immigrant,,2022-06-12T00:00:00.000Z,2022-06-13T00:00:00.000Z,9236
immigrant,,2022-06-13T00:00:00.000Z,2022-06-14T00:00:00.000Z,18689
immigrant,,2022-06-14T00:00:00.000Z,2022-06-15T00:00:00.000Z,51659
immigrant,,2022-06-15T00:00:00.000Z,2022-06-16T00:00:00.000Z,22952
immigrant,US,2022-05-16T00:00:00.000Z,2022-05-17T00:00:00.000Z,62
immigrant,US,2022-05-17T00:00:00.000Z,2022-05-18T00:00:00.000Z,72
immigrant,US,2022-05-18T00:00:00.000Z,2022-05-19T00:00:00.000Z,59
immigrant,US,2022-05-19T00:00:00.000Z,2022-05-20T00:00:00.000Z,44
immigrant,US,2022-05-20T00:00:00.000Z,2022-05-21T00:00:00.000Z,33
immigrant,US,2022-05-21T00:00:00.000Z,2022-05-22T00:00:00.000Z,35
immigrant,US,2022-05-22T00:00:00.000Z,2022-05-23T00:00:00.000Z,27
immigrant,US,2022-05-23T00:00:00.000Z,2022-05-24T00:00:00.000Z,28
immigrant,US,2022-05-24T00:00:00.000Z,2022-05-25T00:00:00.000Z,69
immigrant,US,2022-05-25T00:00:00.000Z,2022-05-26T00:00:00.000Z,77
immigrant,US,2022-05-26T00:00:00.000Z,2022-05-27T00:00:00.000Z,48
immigrant,US,2022-05-27T00:00:00.000Z,2022-05-28T00:00:00.000Z,37
immigrant,US,2022-05-28T00:00:00.000Z,2022-05-29T00:00:00.000Z,32
immigrant,US,2022-05-29T00:00:00.000Z,2022-05-30T00:00:00.000Z,27
immigrant,US,2022-05-30T00:00:00.000Z,2022-05-31T00:00:00.000Z,25
immigrant,US,2022-05-31T00:00:00.000Z,2022-06-01T00:00:00.000Z,30
immigrant,US,2022-06-01T00:00:00.000Z,2022-06-02T00:00:00.000Z,31
immigrant,US,2022-06-02T00:00:00.000Z,2022-06-03T00:00:00.000Z,41
immigrant,US,2022-06-03T00:00:00.000Z,2022-06-04T00:00:00.000Z,30
immigrant,US,2022-06-04T00:00:00.000Z,2022-06-05T00:00:00.000Z,34
immigrant,US,2022-06-05T00:00:00.000Z,2022-06-06T00:00:00.000Z,17
immigrant,US,2022-06-06T00:00:00.000Z,2022-06-07T00:00:00.000Z,25
immigrant,US,2022-06-07T00:00:00.000Z,2022-06-08T00:00:00.000Z,35
immigrant,US,2022-06-08T00:00:00.000Z,2022-06-09T00:00:00.000Z,44
immigrant,US,2022-06-09T00:00:00.000Z,2022-06-10T00:00:00.000Z,47
immigrant,US,2022-06-10T00:00:00.000Z,2022-06-11T00:00:00.000Z,33
immigrant,US,2022-06-11T00:00:00.000Z,2022-06-12T00:00:00.000Z,24
