Keyword,Place,Start_date,End_date,Tweets_count
black,,2021-01-01T00:00:00.000Z,2021-01-02T00:00:00.000Z,541057
black,,2021-01-02T00:00:00.000Z,2021-01-03T00:00:00.000Z,620970
black,,2021-01-03T00:00:00.000Z,2021-01-04T00:00:00.000Z,646179
black,,2021-01-04T00:00:00.000Z,2021-01-05T00:00:00.000Z,682399
black,,2021-01-05T00:00:00.000Z,2021-01-06T00:00:00.000Z,766135
black,,2021-01-06T00:00:00.000Z,2021-01-07T00:00:00.000Z,3230839
black,,2021-01-07T00:00:00.000Z,2021-01-08T00:00:00.000Z,3039386
black,,2021-01-08T00:00:00.000Z,2021-01-09T00:00:00.000Z,1264211
black,,2021-01-09T00:00:00.000Z,2021-01-10T00:00:00.000Z,1126226
black,,2021-01-10T00:00:00.000Z,2021-01-11T00:00:00.000Z,1121816
black,,2021-01-11T00:00:00.000Z,2021-01-12T00:00:00.000Z,825300
black,,2021-01-12T00:00:00.000Z,2021-01-13T00:00:00.000Z,771568
black,,2021-01-13T00:00:00.000Z,2021-01-14T00:00:00.000Z,850154
black,,2021-01-14T00:00:00.000Z,2021-01-15T00:00:00.000Z,816439
black,,2021-01-15T00:00:00.000Z,2021-01-16T00:00:00.000Z,827118
black,,2021-01-16T00:00:00.000Z,2021-01-17T00:00:00.000Z,812261
black,,2021-01-17T00:00:00.000Z,2021-01-18T00:00:00.000Z,803631
black,,2021-01-18T00:00:00.000Z,2021-01-19T00:00:00.000Z,1000335
black,,2021-01-19T00:00:00.000Z,2021-01-20T00:00:00.000Z,844741
black,,2021-01-20T00:00:00.000Z,2021-01-21T00:00:00.000Z,1083919
black,,2021-01-21T00:00:00.000Z,2021-01-22T00:00:00.000Z,875972
black,,2021-01-22T00:00:00.000Z,2021-01-23T00:00:00.000Z,825954
black,,2021-01-23T00:00:00.000Z,2021-01-24T00:00:00.000Z,747068
black,,2021-01-24T00:00:00.000Z,2021-01-25T00:00:00.000Z,613380
black,,2021-01-25T00:00:00.000Z,2021-01-26T00:00:00.000Z,719035
black,,2021-01-26T00:00:00.000Z,2021-01-27T00:00:00.000Z,730778
black,,2021-01-27T00:00:00.000Z,2021-01-28T00:00:00.000Z,726800
black,,2021-01-28T00:00:00.000Z,2021-01-29T00:00:00.000Z,661974
black,,2021-01-29T00:00:00.000Z,2021-01-30T00:00:00.000Z,753321
black,,2021-01-30T00:00:00.000Z,2021-01-31T00:00:00.000Z,748973
black,,2021-01-31T00:00:00.000Z,2021-02-01T00:00:00.000Z,721021
black,,2021-02-01T00:00:00.000Z,2021-02-02T00:00:00.000Z,1378417
black,,2021-02-02T00:00:00.000Z,2021-02-03T00:00:00.000Z,1424678
black,,2021-02-03T00:00:00.000Z,2021-02-04T00:00:00.000Z,1059273
black,,2021-02-04T00:00:00.000Z,2021-02-05T00:00:00.000Z,980772
black,,2021-02-05T00:00:00.000Z,2021-02-06T00:00:00.000Z,858016
black,,2021-02-06T00:00:00.000Z,2021-02-07T00:00:00.000Z,821917
black,,2021-02-07T00:00:00.000Z,2021-02-08T00:00:00.000Z,790171
black,,2021-02-08T00:00:00.000Z,2021-02-09T00:00:00.000Z,859340
black,,2021-02-09T00:00:00.000Z,2021-02-10T00:00:00.000Z,880058
black,,2021-02-10T00:00:00.000Z,2021-02-11T00:00:00.000Z,826724
black,,2021-02-11T00:00:00.000Z,2021-02-12T00:00:00.000Z,896399
black,,2021-02-12T00:00:00.000Z,2021-02-13T00:00:00.000Z,856612
black,,2021-02-13T00:00:00.000Z,2021-02-14T00:00:00.000Z,1024474
