Keyword,Place,Start_date,End_date,Tweets_count
black,GB,2021-01-01T00:00:00.000Z,2021-01-02T00:00:00.000Z,331
black,GB,2021-01-02T00:00:00.000Z,2021-01-03T00:00:00.000Z,385
black,GB,2021-01-03T00:00:00.000Z,2021-01-04T00:00:00.000Z,371
black,GB,2021-01-04T00:00:00.000Z,2021-01-05T00:00:00.000Z,335
black,GB,2021-01-05T00:00:00.000Z,2021-01-06T00:00:00.000Z,303
black,GB,2021-01-06T00:00:00.000Z,2021-01-07T00:00:00.000Z,659
black,GB,2021-01-07T00:00:00.000Z,2021-01-08T00:00:00.000Z,521
black,GB,2021-01-08T00:00:00.000Z,2021-01-09T00:00:00.000Z,350
black,GB,2021-01-09T00:00:00.000Z,2021-01-10T00:00:00.000Z,366
black,GB,2021-01-10T00:00:00.000Z,2021-01-11T00:00:00.000Z,374
black,GB,2021-01-11T00:00:00.000Z,2021-01-12T00:00:00.000Z,315
black,GB,2021-01-12T00:00:00.000Z,2021-01-13T00:00:00.000Z,332
black,GB,2021-01-13T00:00:00.000Z,2021-01-14T00:00:00.000Z,315
black,GB,2021-01-14T00:00:00.000Z,2021-01-15T00:00:00.000Z,381
black,GB,2021-01-15T00:00:00.000Z,2021-01-16T00:00:00.000Z,367
black,GB,2021-01-16T00:00:00.000Z,2021-01-17T00:00:00.000Z,402
black,GB,2021-01-17T00:00:00.000Z,2021-01-18T00:00:00.000Z,372
black,GB,2021-01-18T00:00:00.000Z,2021-01-19T00:00:00.000Z,314
black,GB,2021-01-19T00:00:00.000Z,2021-01-20T00:00:00.000Z,312
black,GB,2021-01-20T00:00:00.000Z,2021-01-21T00:00:00.000Z,390
black,GB,2021-01-21T00:00:00.000Z,2021-01-22T00:00:00.000Z,330
black,GB,2021-01-22T00:00:00.000Z,2021-01-23T00:00:00.000Z,339
black,GB,2021-01-23T00:00:00.000Z,2021-01-24T00:00:00.000Z,337
black,GB,2021-01-24T00:00:00.000Z,2021-01-25T00:00:00.000Z,362
black,GB,2021-01-25T00:00:00.000Z,2021-01-26T00:00:00.000Z,324
black,GB,2021-01-26T00:00:00.000Z,2021-01-27T00:00:00.000Z,316
black,GB,2021-01-27T00:00:00.000Z,2021-01-28T00:00:00.000Z,317
black,GB,2021-01-28T00:00:00.000Z,2021-01-29T00:00:00.000Z,305
black,GB,2021-01-29T00:00:00.000Z,2021-01-30T00:00:00.000Z,364
black,GB,2021-01-30T00:00:00.000Z,2021-01-31T00:00:00.000Z,403
black,GB,2021-01-31T00:00:00.000Z,2021-02-01T00:00:00.000Z,323
black,GB,2021-02-01T00:00:00.000Z,2021-02-02T00:00:00.000Z,316
black,GB,2021-02-02T00:00:00.000Z,2021-02-03T00:00:00.000Z,324
black,GB,2021-02-03T00:00:00.000Z,2021-02-04T00:00:00.000Z,353
black,GB,2021-02-04T00:00:00.000Z,2021-02-05T00:00:00.000Z,316
black,GB,2021-02-05T00:00:00.000Z,2021-02-06T00:00:00.000Z,305
black,GB,2021-02-06T00:00:00.000Z,2021-02-07T00:00:00.000Z,355
black,GB,2021-02-07T00:00:00.000Z,2021-02-08T00:00:00.000Z,403
black,GB,2021-02-08T00:00:00.000Z,2021-02-09T00:00:00.000Z,327
black,GB,2021-02-09T00:00:00.000Z,2021-02-10T00:00:00.000Z,318
black,GB,2021-02-10T00:00:00.000Z,2021-02-11T00:00:00.000Z,317
black,GB,2021-02-11T00:00:00.000Z,2021-02-12T00:00:00.000Z,315
black,GB,2021-02-12T00:00:00.000Z,2021-02-13T00:00:00.000Z,397
black,GB,2021-02-13T00:00:00.000Z,2021-02-14T00:00:00.000Z,364
black,GB,2021-02-14T00:00:00.000Z,2021-02-15T00:00:00.000Z,318
black,GB,2021-02-15T00:00:00.000Z,2021-02-16T00:00:00.000Z,255
black,GB,2021-02-16T00:00:00.000Z,2021-02-17T00:00:00.000Z,306
black,GB,2021-02-17T00:00:00.000Z,2021-02-18T00:00:00.000Z,356
black,GB,2021-02-18T00:00:00.000Z,2021-02-19T00:00:00.000Z,329
black,GB,2021-02-19T00:00:00.000Z,2021-02-20T00:00:00.000Z,319
black,GB,2021-02-20T00:00:00.000Z,2021-02-21T00:00:00.000Z,332
black,GB,2021-02-21T00:00:00.000Z,2021-02-22T00:00:00.000Z,310
black,GB,2021-02-22T00:00:00.000Z,2021-02-23T00:00:00.000Z,269
black,GB,2021-02-23T00:00:00.000Z,2021-02-24T00:00:00.000Z,306
black,GB,2021-02-24T00:00:00.000Z,2021-02-25T00:00:00.000Z,297
black,GB,2021-02-25T00:00:00.000Z,2021-02-26T00:00:00.000Z,314
black,GB,2021-02-26T00:00:00.000Z,2021-02-27T00:00:00.000Z,335
black,GB,2021-02-27T00:00:00.000Z,2021-02-28T00:00:00.000Z,367
black,GB,2021-02-28T00:00:00.000Z,2021-03-01T00:00:00.000Z,350
black,GB,2021-03-01T00:00:00.000Z,2021-03-02T00:00:00.000Z,321
black,GB,2021-03-02T00:00:00.000Z,2021-03-03T00:00:00.000Z,323
black,GB,2021-03-03T00:00:00.000Z,2021-03-04T00:00:00.000Z,347
black,GB,2021-03-04T00:00:00.000Z,2021-03-05T00:00:00.000Z,359
black,GB,2021-03-05T00:00:00.000Z,2021-03-06T00:00:00.000Z,326
black,GB,2021-03-06T00:00:00.000Z,2021-03-07T00:00:00.000Z,345
black,GB,2021-03-07T00:00:00.000Z,2021-03-08T00:00:00.000Z,304
black,GB,2021-03-08T00:00:00.000Z,2021-03-09T00:00:00.000Z,581
black,GB,2021-03-09T00:00:00.000Z,2021-03-10T00:00:00.000Z,431
black,GB,2021-03-10T00:00:00.000Z,2021-03-11T00:00:00.000Z,383
black,GB,2021-03-11T00:00:00.000Z,2021-03-12T00:00:00.000Z,389
black,GB,2021-03-12T00:00:00.000Z,2021-03-13T00:00:00.000Z,374
black,GB,2021-03-13T00:00:00.000Z,2021-03-14T00:00:00.000Z,408
black,GB,2021-03-14T00:00:00.000Z,2021-03-15T00:00:00.000Z,378
black,GB,2021-03-15T00:00:00.000Z,2021-03-16T00:00:00.000Z,283
black,GB,2021-03-16T00:00:00.000Z,2021-03-17T00:00:00.000Z,363
black,GB,2021-03-17T00:00:00.000Z,2021-03-18T00:00:00.000Z,321
black,GB,2021-03-18T00:00:00.000Z,2021-03-19T00:00:00.000Z,291
black,GB,2021-03-19T00:00:00.000Z,2021-03-20T00:00:00.000Z,373
black,GB,2021-03-20T00:00:00.000Z,2021-03-21T00:00:00.000Z,352
black,GB,2021-03-21T00:00:00.000Z,2021-03-22T00:00:00.000Z,286
black,GB,2021-03-22T00:00:00.000Z,2021-03-23T00:00:00.000Z,290
black,GB,2021-03-23T00:00:00.000Z,2021-03-24T00:00:00.000Z,260
black,GB,2021-03-24T00:00:00.000Z,2021-03-25T00:00:00.000Z,286
black,GB,2021-03-25T00:00:00.000Z,2021-03-26T00:00:00.000Z,326
black,GB,2021-03-26T00:00:00.000Z,2021-03-27T00:00:00.000Z,319
black,GB,2021-03-27T00:00:00.000Z,2021-03-28T00:00:00.000Z,350
black,GB,2021-03-28T00:00:00.000Z,2021-03-29T00:00:00.000Z,305
black,GB,2021-03-29T00:00:00.000Z,2021-03-30T00:00:00.000Z,349
black,GB,2021-03-30T00:00:00.000Z,2021-03-31T00:00:00.000Z,352
black,GB,2021-03-31T00:00:00.000Z,2021-04-01T00:00:00.000Z,485
black,GB,2021-04-01T00:00:00.000Z,2021-04-02T00:00:00.000Z,430
black,GB,2021-04-02T00:00:00.000Z,2021-04-03T00:00:00.000Z,356
black,GB,2021-04-03T00:00:00.000Z,2021-04-04T00:00:00.000Z,311
black,GB,2021-04-04T00:00:00.000Z,2021-04-05T00:00:00.000Z,255
black,GB,2021-04-05T00:00:00.000Z,2021-04-06T00:00:00.000Z,273
black,GB,2021-04-06T00:00:00.000Z,2021-04-07T00:00:00.000Z,300
black,GB,2021-04-07T00:00:00.000Z,2021-04-08T00:00:00.000Z,294
black,GB,2021-04-08T00:00:00.000Z,2021-04-09T00:00:00.000Z,292
black,GB,2021-04-09T00:00:00.000Z,2021-04-10T00:00:00.000Z,397
black,GB,2021-04-10T00:00:00.000Z,2021-04-11T00:00:00.000Z,380
black,GB,2021-04-11T00:00:00.000Z,2021-04-12T00:00:00.000Z,342
black,GB,2021-04-12T00:00:00.000Z,2021-04-13T00:00:00.000Z,334
black,GB,2021-04-13T00:00:00.000Z,2021-04-14T00:00:00.000Z,279
black,GB,2021-04-14T00:00:00.000Z,2021-04-15T00:00:00.000Z,368
black,GB,2021-04-15T00:00:00.000Z,2021-04-16T00:00:00.000Z,334
black,GB,2021-04-16T00:00:00.000Z,2021-04-17T00:00:00.000Z,324
black,GB,2021-04-17T00:00:00.000Z,2021-04-18T00:00:00.000Z,252
black,GB,2021-04-18T00:00:00.000Z,2021-04-19T00:00:00.000Z,287
black,GB,2021-04-19T00:00:00.000Z,2021-04-20T00:00:00.000Z,260
black,GB,2021-04-20T00:00:00.000Z,2021-04-21T00:00:00.000Z,384
black,GB,2021-04-21T00:00:00.000Z,2021-04-22T00:00:00.000Z,400
black,GB,2021-04-22T00:00:00.000Z,2021-04-23T00:00:00.000Z,327
black,GB,2021-04-23T00:00:00.000Z,2021-04-24T00:00:00.000Z,279
black,GB,2021-04-24T00:00:00.000Z,2021-04-25T00:00:00.000Z,292
black,GB,2021-04-25T00:00:00.000Z,2021-04-26T00:00:00.000Z,298
black,GB,2021-04-26T00:00:00.000Z,2021-04-27T00:00:00.000Z,247
black,GB,2021-04-27T00:00:00.000Z,2021-04-28T00:00:00.000Z,280
black,GB,2021-04-28T00:00:00.000Z,2021-04-29T00:00:00.000Z,216
black,GB,2021-04-29T00:00:00.000Z,2021-04-30T00:00:00.000Z,251
black,GB,2021-04-30T00:00:00.000Z,2021-05-01T00:00:00.000Z,279
black,GB,2021-05-01T00:00:00.000Z,2021-05-02T00:00:00.000Z,256
black,GB,2021-05-02T00:00:00.000Z,2021-05-03T00:00:00.000Z,265
black,GB,2021-05-03T00:00:00.000Z,2021-05-04T00:00:00.000Z,251
black,GB,2021-05-04T00:00:00.000Z,2021-05-05T00:00:00.000Z,183
black,GB,2021-05-05T00:00:00.000Z,2021-05-06T00:00:00.000Z,283
black,GB,2021-05-06T00:00:00.000Z,2021-05-07T00:00:00.000Z,275
black,GB,2021-05-07T00:00:00.000Z,2021-05-08T00:00:00.000Z,252
black,GB,2021-05-08T00:00:00.000Z,2021-05-09T00:00:00.000Z,279
black,GB,2021-05-09T00:00:00.000Z,2021-05-10T00:00:00.000Z,254
black,GB,2021-05-10T00:00:00.000Z,2021-05-11T00:00:00.000Z,248
black,GB,2021-05-11T00:00:00.000Z,2021-05-12T00:00:00.000Z,286
black,GB,2021-05-12T00:00:00.000Z,2021-05-13T00:00:00.000Z,254
black,GB,2021-05-13T00:00:00.000Z,2021-05-14T00:00:00.000Z,281
black,GB,2021-05-14T00:00:00.000Z,2021-05-15T00:00:00.000Z,266
black,GB,2021-05-15T00:00:00.000Z,2021-05-16T00:00:00.000Z,284
black,GB,2021-05-16T00:00:00.000Z,2021-05-17T00:00:00.000Z,270
black,GB,2021-05-17T00:00:00.000Z,2021-05-18T00:00:00.000Z,259
black,GB,2021-05-18T00:00:00.000Z,2021-05-19T00:00:00.000Z,227
black,GB,2021-05-19T00:00:00.000Z,2021-05-20T00:00:00.000Z,252
black,GB,2021-05-20T00:00:00.000Z,2021-05-21T00:00:00.000Z,304
black,GB,2021-05-21T00:00:00.000Z,2021-05-22T00:00:00.000Z,261
black,GB,2021-05-22T00:00:00.000Z,2021-05-23T00:00:00.000Z,322
black,GB,2021-05-23T00:00:00.000Z,2021-05-24T00:00:00.000Z,239
black,GB,2021-05-24T00:00:00.000Z,2021-05-25T00:00:00.000Z,323
black,GB,2021-05-25T00:00:00.000Z,2021-05-26T00:00:00.000Z,413
