Keyword,Place,Start_date,End_date,Tweets_count
black,US,2021-01-01T00:00:00.000Z,2021-01-02T00:00:00.000Z,2619
black,US,2021-01-02T00:00:00.000Z,2021-01-03T00:00:00.000Z,2660
black,US,2021-01-03T00:00:00.000Z,2021-01-04T00:00:00.000Z,2399
black,US,2021-01-04T00:00:00.000Z,2021-01-05T00:00:00.000Z,2291
black,US,2021-01-05T00:00:00.000Z,2021-01-06T00:00:00.000Z,2875
black,US,2021-01-06T00:00:00.000Z,2021-01-07T00:00:00.000Z,10396
black,US,2021-01-07T00:00:00.000Z,2021-01-08T00:00:00.000Z,7058
black,US,2021-01-08T00:00:00.000Z,2021-01-09T00:00:00.000Z,4140
black,US,2021-01-09T00:00:00.000Z,2021-01-10T00:00:00.000Z,3156
black,US,2021-01-10T00:00:00.000Z,2021-01-11T00:00:00.000Z,3079
black,US,2021-01-11T00:00:00.000Z,2021-01-12T00:00:00.000Z,2941
black,US,2021-01-12T00:00:00.000Z,2021-01-13T00:00:00.000Z,2777
black,US,2021-01-13T00:00:00.000Z,2021-01-14T00:00:00.000Z,2779
black,US,2021-01-14T00:00:00.000Z,2021-01-15T00:00:00.000Z,2852
black,US,2021-01-15T00:00:00.000Z,2021-01-16T00:00:00.000Z,3037
black,US,2021-01-16T00:00:00.000Z,2021-01-17T00:00:00.000Z,2694
black,US,2021-01-17T00:00:00.000Z,2021-01-18T00:00:00.000Z,2560
black,US,2021-01-18T00:00:00.000Z,2021-01-19T00:00:00.000Z,3242
black,US,2021-01-19T00:00:00.000Z,2021-01-20T00:00:00.000Z,2887
black,US,2021-01-20T00:00:00.000Z,2021-01-21T00:00:00.000Z,4755
black,US,2021-01-21T00:00:00.000Z,2021-01-22T00:00:00.000Z,3210
black,US,2021-01-22T00:00:00.000Z,2021-01-23T00:00:00.000Z,2944
black,US,2021-01-23T00:00:00.000Z,2021-01-24T00:00:00.000Z,2415
black,US,2021-01-24T00:00:00.000Z,2021-01-25T00:00:00.000Z,2322
black,US,2021-01-25T00:00:00.000Z,2021-01-26T00:00:00.000Z,2486
black,US,2021-01-26T00:00:00.000Z,2021-01-27T00:00:00.000Z,2591
black,US,2021-01-27T00:00:00.000Z,2021-01-28T00:00:00.000Z,2589
black,US,2021-01-28T00:00:00.000Z,2021-01-29T00:00:00.000Z,2392
black,US,2021-01-29T00:00:00.000Z,2021-01-30T00:00:00.000Z,2502
black,US,2021-01-30T00:00:00.000Z,2021-01-31T00:00:00.000Z,2159
black,US,2021-01-31T00:00:00.000Z,2021-02-01T00:00:00.000Z,2167
black,US,2021-02-01T00:00:00.000Z,2021-02-02T00:00:00.000Z,5948
black,US,2021-02-02T00:00:00.000Z,2021-02-03T00:00:00.000Z,4233
black,US,2021-02-03T00:00:00.000Z,2021-02-04T00:00:00.000Z,3703
black,US,2021-02-04T00:00:00.000Z,2021-02-05T00:00:00.000Z,3384
black,US,2021-02-05T00:00:00.000Z,2021-02-06T00:00:00.000Z,3050
black,US,2021-02-06T00:00:00.000Z,2021-02-07T00:00:00.000Z,3153
black,US,2021-02-07T00:00:00.000Z,2021-02-08T00:00:00.000Z,3200
black,US,2021-02-08T00:00:00.000Z,2021-02-09T00:00:00.000Z,3258
black,US,2021-02-09T00:00:00.000Z,2021-02-10T00:00:00.000Z,3060
black,US,2021-02-10T00:00:00.000Z,2021-02-11T00:00:00.000Z,3088
black,US,2021-02-11T00:00:00.000Z,2021-02-12T00:00:00.000Z,3177
black,US,2021-02-12T00:00:00.000Z,2021-02-13T00:00:00.000Z,3301
black,US,2021-02-13T00:00:00.000Z,2021-02-14T00:00:00.000Z,2917
