Keyword,Place,Start_date,End_date,Tweets_count
immigrant,,2021-01-01T00:00:00.000Z,2021-01-02T00:00:00.000Z,7052
immigrant,,2021-01-02T00:00:00.000Z,2021-01-03T00:00:00.000Z,6980
immigrant,,2021-01-03T00:00:00.000Z,2021-01-04T00:00:00.000Z,8707
immigrant,,2021-01-04T00:00:00.000Z,2021-01-05T00:00:00.000Z,5690
immigrant,,2021-01-05T00:00:00.000Z,2021-01-06T00:00:00.000Z,7639
immigrant,,2021-01-06T00:00:00.000Z,2021-01-07T00:00:00.000Z,10202
immigrant,,2021-01-07T00:00:00.000Z,2021-01-08T00:00:00.000Z,71301
immigrant,,2021-01-08T00:00:00.000Z,2021-01-09T00:00:00.000Z,10829
immigrant,,2021-01-09T00:00:00.000Z,2021-01-10T00:00:00.000Z,9725
immigrant,,2021-01-10T00:00:00.000Z,2021-01-11T00:00:00.000Z,10809
immigrant,,2021-01-11T00:00:00.000Z,2021-01-12T00:00:00.000Z,8779
immigrant,,2021-01-12T00:00:00.000Z,2021-01-13T00:00:00.000Z,12802
immigrant,,2021-01-13T00:00:00.000Z,2021-01-14T00:00:00.000Z,29736
immigrant,,2021-01-14T00:00:00.000Z,2021-01-15T00:00:00.000Z,14852
immigrant,,2021-01-15T00:00:00.000Z,2021-01-16T00:00:00.000Z,10206
immigrant,,2021-01-16T00:00:00.000Z,2021-01-17T00:00:00.000Z,12127
immigrant,,2021-01-17T00:00:00.000Z,2021-01-18T00:00:00.000Z,11070
immigrant,,2021-01-18T00:00:00.000Z,2021-01-19T00:00:00.000Z,12421
immigrant,,2021-01-19T00:00:00.000Z,2021-01-20T00:00:00.000Z,14323
immigrant,,2021-01-20T00:00:00.000Z,2021-01-21T00:00:00.000Z,18912
immigrant,,2021-01-21T00:00:00.000Z,2021-01-22T00:00:00.000Z,22569
immigrant,,2021-01-22T00:00:00.000Z,2021-01-23T00:00:00.000Z,11843
