Keyword,Place,Start_date,End_date,Tweets_count
migration,,2021-01-01T00:00:00.000Z,2021-01-02T00:00:00.000Z,8425
migration,,2021-01-02T00:00:00.000Z,2021-01-03T00:00:00.000Z,5393
migration,,2021-01-03T00:00:00.000Z,2021-01-04T00:00:00.000Z,6088
migration,,2021-01-04T00:00:00.000Z,2021-01-05T00:00:00.000Z,7657
migration,,2021-01-05T00:00:00.000Z,2021-01-06T00:00:00.000Z,8610
migration,,2021-01-06T00:00:00.000Z,2021-01-07T00:00:00.000Z,7407
migration,,2021-01-07T00:00:00.000Z,2021-01-08T00:00:00.000Z,4992
migration,,2021-01-08T00:00:00.000Z,2021-01-09T00:00:00.000Z,6384
migration,,2021-01-09T00:00:00.000Z,2021-01-10T00:00:00.000Z,6667
migration,,2021-01-10T00:00:00.000Z,2021-01-11T00:00:00.000Z,7668
migration,,2021-01-11T00:00:00.000Z,2021-01-12T00:00:00.000Z,8743
migration,,2021-01-12T00:00:00.000Z,2021-01-13T00:00:00.000Z,8349
migration,,2021-01-13T00:00:00.000Z,2021-01-14T00:00:00.000Z,8462
migration,,2021-01-14T00:00:00.000Z,2021-01-15T00:00:00.000Z,10674
migration,,2021-01-15T00:00:00.000Z,2021-01-16T00:00:00.000Z,12459
migration,,2021-01-16T00:00:00.000Z,2021-01-17T00:00:00.000Z,7513
migration,,2021-01-17T00:00:00.000Z,2021-01-18T00:00:00.000Z,5877
migration,,2021-01-18T00:00:00.000Z,2021-01-19T00:00:00.000Z,8258
migration,,2021-01-19T00:00:00.000Z,2021-01-20T00:00:00.000Z,12896
migration,,2021-01-20T00:00:00.000Z,2021-01-21T00:00:00.000Z,8933
migration,,2021-01-21T00:00:00.000Z,2021-01-22T00:00:00.000Z,9733
migration,,2021-01-22T00:00:00.000Z,2021-01-23T00:00:00.000Z,16404
migration,,2021-01-23T00:00:00.000Z,2021-01-24T00:00:00.000Z,7530
migration,,2021-01-24T00:00:00.000Z,2021-01-25T00:00:00.000Z,6074
migration,,2021-01-25T00:00:00.000Z,2021-01-26T00:00:00.000Z,7737
migration,,2021-01-26T00:00:00.000Z,2021-01-27T00:00:00.000Z,9725
migration,,2021-01-27T00:00:00.000Z,2021-01-28T00:00:00.000Z,9476
migration,,2021-01-28T00:00:00.000Z,2021-01-29T00:00:00.000Z,9565
migration,,2021-01-29T00:00:00.000Z,2021-01-30T00:00:00.000Z,7893
migration,,2021-01-30T00:00:00.000Z,2021-01-31T00:00:00.000Z,5240
migration,,2021-01-31T00:00:00.000Z,2021-02-01T00:00:00.000Z,6389
migration,,2021-02-01T00:00:00.000Z,2021-02-02T00:00:00.000Z,8042
migration,,2021-02-02T00:00:00.000Z,2021-02-03T00:00:00.000Z,11741
migration,,2021-02-03T00:00:00.000Z,2021-02-04T00:00:00.000Z,10643
migration,,2021-02-04T00:00:00.000Z,2021-02-05T00:00:00.000Z,10041
migration,,2021-02-05T00:00:00.000Z,2021-02-06T00:00:00.000Z,9941
migration,,2021-02-06T00:00:00.000Z,2021-02-07T00:00:00.000Z,7692
migration,,2021-02-07T00:00:00.000Z,2021-02-08T00:00:00.000Z,6576
migration,,2021-02-08T00:00:00.000Z,2021-02-09T00:00:00.000Z,7926
migration,,2021-02-09T00:00:00.000Z,2021-02-10T00:00:00.000Z,8836
migration,,2021-02-10T00:00:00.000Z,2021-02-11T00:00:00.000Z,10094
migration,,2021-02-11T00:00:00.000Z,2021-02-12T00:00:00.000Z,9135
migration,,2021-02-12T00:00:00.000Z,2021-02-13T00:00:00.000Z,7786
migration,,2021-02-13T00:00:00.000Z,2021-02-14T00:00:00.000Z,5712
migration,,2021-02-14T00:00:00.000Z,2021-02-15T00:00:00.000Z,5666
migration,,2021-02-15T00:00:00.000Z,2021-02-16T00:00:00.000Z,11568
migration,,2021-02-16T00:00:00.000Z,2021-02-17T00:00:00.000Z,11538
migration,,2021-02-17T00:00:00.000Z,2021-02-18T00:00:00.000Z,11057
migration,,2021-02-18T00:00:00.000Z,2021-02-19T00:00:00.000Z,10690
migration,,2021-02-19T00:00:00.000Z,2021-02-20T00:00:00.000Z,11078
migration,,2021-02-20T00:00:00.000Z,2021-02-21T00:00:00.000Z,8500
migration,,2021-02-21T00:00:00.000Z,2021-02-22T00:00:00.000Z,9699
migration,,2021-02-22T00:00:00.000Z,2021-02-23T00:00:00.000Z,11508
migration,,2021-02-23T00:00:00.000Z,2021-02-24T00:00:00.000Z,10429
