Keyword,Place,Start_date,End_date,Tweets_count
immigrant,,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,10357
immigrant,,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,9554
immigrant,,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,8668
immigrant,,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,15665
immigrant,,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,12707
immigrant,US,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,37
immigrant,US,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,32
immigrant,US,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,27
immigrant,US,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,34
immigrant,US,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,36
migration,,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,8497
migration,,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,5808
migration,,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,6118
migration,,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,7781
migration,,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,9066
migration,US,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,13
migration,US,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,13
migration,US,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,9
migration,US,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,11
migration,US,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,18
